script_name,point_index,axis,v_percent,a_percent,t_rel_sec,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
x_calibrate,9,x,40,100,1.2900200549993315,-100.03768157958984,-450.02569580078125,499.9345397949219,-169.89630126953125,-0.0024593262933194637,171.99664306640625
x_calibrate,9,x,40,100,1.2999984870039043,-100.02389526367188,-450.0257568359375,499.9351501464844,-169.8963623046875,-0.0025103245861828327,171.9962158203125
x_calibrate,9,x,40,100,1.3100135390050127,-100.00279998779297,-450.0119934082031,499.9091491699219,-169.89942932128906,-0.0008577245753258467,171.99575805664062
x_calibrate,9,x,40,100,1.3199436499999138,-100.00325012207031,-450.012451171875,499.9104309082031,-169.8993377685547,-0.0010068622650578618,171.99559020996094
x_calibrate,9,x,40,100,1.3299730490034563,-100.00534057617188,-450.01324462890625,499.9126281738281,-169.89910888671875,-0.0011989822378382087,171.99542236328125
x_calibrate,9,x,40,100,1.339960538003652,-100.00711059570312,-450.01385498046875,499.91424560546875,-169.89895629882812,-0.0013487389078363776,171.9953155517578
x_calibrate,9,x,40,100,1.349922940004035,-100.00762939453125,-450.0140075683594,499.91510009765625,-169.8988800048828,-0.0014152672374621034,171.99526977539062
x_calibrate,10,x,45,100,0.019911188996047713,-100.0119857788086,-450.01513671875,499.919677734375,-169.8984375,-0.0017533263890072703,171.99496459960938
x_calibrate,10,x,45,100,0.030021139995369595,-100.01289367675781,-450.0152282714844,499.9203796386719,-169.89837646484375,-0.0018178180325776339,171.994873046875
x_calibrate,10,x,45,100,0.04005566900013946,-100.0140151977539,-450.0154724121094,499.92156982421875,-169.89828491210938,-0.0018969932571053505,171.99478149414062
x_calibrate,10,x,45,100,0.05008841399830999,-100.016357421875,-450.0158996582031,499.9234924316406,-169.89813232421875,-0.001996273873373866,171.99462890625
x_calibrate,10,x,45,100,0.06004080699494807,-100.01779174804688,-450.0163269042969,499.9247741699219,-169.8980255126953,-0.0020752286072820425,171.9945068359375
x_calibrate,10,x,45,100,0.07004190199950244,-100.01874542236328,-450.0167541503906,499.9256896972656,-169.89797973632812,-0.002110457280650735,171.9944610595703
x_calibrate,10,x,45,100,0.08006057099555619,-100.01951599121094,-450.0169372558594,499.9264831542969,-169.89791870117188,-0.0021371946204453707,171.99441528320312
