epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,604.266,0.58362,0.43409,1.98043,0.87826,0,0.19939,0.88,0.24022,0.21194,0.19939,0.88,0.24022,0.21793,0.50793,0.50669,2.56632,0.81018,0,0.00078764,0.00078764,0.00078764
50,616.863,0.7597,0.47413,2.64926,0.96169,0,0.19877,0.96,0.21366,0.17861,0.19048,0.92,0.19995,0.15225,0.53516,1.57834,2.54989,0.80762,0,0.000779377,0.000779377,0.000779377
51,629.26,0.60624,0.50796,2.08718,0.8589,0,0.19877,0.96,0.21366,0.17861,0.19048,0.92,0.19995,0.15225,0.53516,1.57834,2.54989,0.80762,0,0.0007625,0.0007625,0.0007625
52,641.828,0.54713,0.40636,2.13792,0.85889,0,0.19977,1,0.22131,0.18687,0.19977,1,0.22131,0.20511,0.54481,0.44433,2.53101,0.8124,0,0.00073775,0.00073775,0.00073775
53,654.401,0.58338,0.4039,2.09918,0.84102,0,0.19977,1,0.22131,0.18687,0.19977,1,0.22131,0.20511,0.54481,0.44433,2.53101,0.8124,0,0.000713,0.000713,0.000713
54,666.881,0.53912,0.3665,1.96697,0.86767,0,0.19956,1,0.21508,0.18144,0.19956,1,0.21508,0.19924,0.5106,0.49321,2.48802,0.81236,0,0.00068825,0.00068825,0.00068825
55,679.187,0.55641,0.39386,2.25786,0.86775,0,0.19956,1,0.21508,0.18144,0.19956,1,0.21508,0.19924,0.5106,0.49321,2.48802,0.81236,0,0.0006635,0.0006635,0.0006635
56,691.677,0.51027,0.37619,1.89541,0.86679,0,0.19949,1,0.21823,0.18576,0.19949,1,0.21823,0.19803,0.53367,0.61033,2.42451,0.8112,0,0.00063875,0.00063875,0.00063875
57,703.999,0.53891,0.43673,1.94213,0.85841,0,0.19949,1,0.21823,0.18576,0.19949,1,0.21823,0.19803,0.53367,0.61033,2.42451,0.8112,0,0.000614,0.000614,0.000614
58,716.351,0.66155,0.52945,2.06642,0.90086,0,0.19951,1,0.2253,0.1982,0.19951,1,0.2253,0.20383,0.50585,0.59961,2.40132,0.80806,0,0.00058925,0.00058925,0.00058925
59,728.495,0.51156,0.36939,1.97556,0.83707,0,0.19951,1,0.2253,0.1982,0.19951,1,0.2253,0.20383,0.50585,0.59961,2.40132,0.80806,0,0.0005645,0.0005645,0.0005645
60,740.867,0.60707,0.46096,2.07856,0.87121,0,0.19963,1,0.24232,0.21784,0.19963,1,0.24232,0.22197,0.45056,0.48619,2.3552,0.80076,0,0.00053975,0.00053975,0.00053975
61,753.233,0.46996,0.31639,1.88701,0.85437,0,0.19963,1,0.24232,0.21784,0.19963,1,0.24232,0.22197,0.45056,0.48619,2.3552,0.80076,0,0.000515,0.000515,0.000515
62,765.767,0.58932,0.40669,1.97329,0.88246,0,0.19944,1,0.24319,0.21537,0.19944,1,0.24319,0.23299,0.45428,0.38409,2.32529,0.80265,0,0.00049025,0.00049025,0.00049025
63,778.197,0.54775,0.33129,1.89894,0.88107,0,0.19944,1,0.24319,0.21537,0.19944,1,0.24319,0.23299,0.45428,0.38409,2.32529,0.80265,0,0.0004655,0.0004655,0.0004655
64,790.858,0.48654,0.35513,2.06423,0.85653,0,0.19931,1,0.24439,0.2203,0.19931,1,0.24439,0.23615,0.45117,0.33788,2.27625,0.79889,0,0.00044075,0.00044075,0.00044075
65,803.535,0.50464,0.34713,1.8727,0.88218,0,0.19931,1,0.24439,0.2203,0.19931,1,0.24439,0.23615,0.45117,0.33788,2.27625,0.79889,0,0.000416,0.000416,0.000416
66,815.793,0.48435,0.39202,1.86785,0.85614,0,0.19923,1,0.22129,0.19799,0.19923,1,0.22129,0.21318,0.43963,0.32019,2.2567,0.79406,0,0.00039125,0.00039125,0.00039125
67,828.997,0.49256,0.4311,1.93512,0.82268,0,0.19923,1,0.22129,0.19799,0.19923,1,0.22129,0.21318,0.43963,0.32019,2.2567,0.79406,0,0.0003665,0.0003665,0.0003665
68,841.824,0.47513,0.38135,1.87708,0.86307,0,0.19924,1,0.22124,0.1986,0.19924,1,0.22124,0.21308,0.43829,0.31718,2.21852,0.79102,0,0.00034175,0.00034175,0.00034175
